"BCR","BCR_name","CommonName","ScientificName","SPEC","No_individuals","Nsta_CJS","No_yrunique_adults","No_yrunique_young","phi.med","phi.sd","phi.05","phi.95","phi.trend.med","phi.trend.sd","phi.trend.05","phi.trend.95","sigma.phi.med","sigma.phi.sd","sigma.phi.05","sigma.phi.95","pi.med","pi.sd","pi.05","pi.95","pi.trend.med","pi.trend.sd","pi.trend.05","pi.trend.95","sigma.pi.med","sigma.pi.sd","sigma.pi.05","sigma.pi.95","ri.med","ri.sd","ri.05","ri.95","ri.trend.med","ri.trend.sd","ri.trend.05","ri.trend.95","sigma.ri.med","sigma.ri.sd","sigma.ri.05","sigma.ri.95","ahy.med","ahy.sd","ahy.05","ahy.95","ahy.trend.med","ahy.trend.sd","ahy.trend.05","ahy.trend.95","sigma.ahy.med","sigma.ahy.sd","sigma.ahy.05","sigma.ahy.95","hy.med","hy.sd","hy.05","hy.95","hy.trend.med","hy.trend.sd","hy.trend.05","hy.trend.95","sigma.hy.med","sigma.hy.sd","sigma.hy.05","sigma.hy.95"
2,"Western Alaska","Wilson's Warbler","Cardellina pusilla","WIWA",1673,4,2070,684,0.428,0.047,0.347,0.497,0.003,0.018,-0.02,0.037,0.406,0.267,0.105,0.924,0.455,0.054,0.37,0.547,-0.003,0.025,-0.044,0.04,0.249,0.154,0.067,0.551,0.167,0.141,0.065,0.451,-0.015,0.021,-0.051,0.016,1.232,0.406,0.81,2.063,11.722,4.686,6.884,21.301,-0.012,0.026,-0.054,0.025,0.332,0.147,0.203,0.638,2.147,2.596,0.601,7.766,-0.022,0.037,-0.095,0.022,1.178,0.446,0.755,2.078
2,"Western Alaska","Orange-crowned Warbler","Leiothlypis celata","OCWA",362,3,595,185,0.476,0.039,0.399,0.525,0.016,0.021,-0.013,0.052,0.614,0.457,0.111,1.536,0.608,0.166,0.342,0.901,-0.081,0.137,-0.353,0.063,0.908,1.53,0.122,4.528,0.257,0.157,0.102,0.579,0.005,0.033,-0.038,0.066,1.23,0.512,0.724,2.274,7.267,4.039,3.125,15.649,-0.004,0.022,-0.032,0.038,0.467,0.252,0.26,0.998,1.21,1.077,0.402,3.397,0.004,0.035,-0.048,0.066,1.042,0.493,0.581,2.08
2,"Western Alaska","Yellow Warbler","Setophaga petechia","YEWA",462,4,760,136,0.571,0.032,0.504,0.606,0,0.011,-0.015,0.019,0.596,0.523,0.084,1.577,0.489,0.066,0.388,0.605,-0.016,0.014,-0.04,0.005,0.261,0.296,0.023,0.887,0.114,0.045,0.061,0.204,0.003,0.015,-0.014,0.03,0.828,0.394,0.414,1.624,10.034,5.273,4.645,21.146,0.004,0.027,-0.04,0.047,0.235,0.103,0.13,0.435,1.044,0.905,0.343,3.007,-0.001,0.037,-0.06,0.062,0.94,0.434,0.528,1.846
2,"Western Alaska","Hermit Thrush","Catharus guttatus","HETH",307,4,424,280,0.506,0.039,0.447,0.571,0.003,0.019,-0.029,0.034,0.326,0.294,0.039,0.924,0.657,0.087,0.518,0.803,-0.029,0.039,-0.088,0.034,0.562,0.572,0.067,1.709,0.374,0.23,0.167,0.861,-0.007,0.033,-0.064,0.039,0.43,0.219,0.2,0.875,3.274,2.537,1.263,8.635,-0.016,0.013,-0.04,0.003,0.051,0.054,0.005,0.168,1.785,1.633,0.594,5.162,-0.03,0.034,-0.096,0.01,0.451,0.249,0.24,0.958
4,"Northwestern Interior Forest","Orange-crowned Warbler","Leiothlypis celata","OCWA",552,13,643,248,0.479,0.034,0.417,0.526,0.014,0.017,-0.014,0.04,0.226,0.25,0.017,0.764,0.496,0.146,0.246,0.735,-0.098,0.092,-0.272,0.019,0.256,0.331,0.022,0.971,0.296,0.124,0.159,0.549,0.017,0.025,-0.015,0.067,0.429,0.164,0.231,0.752,3.134,1.343,1.719,5.968,-0.007,0.013,-0.029,0.015,0.216,0.091,0.108,0.394,0.848,0.497,0.381,1.921,0.017,0.026,-0.017,0.067,0.536,0.175,0.337,0.884
4,"Northwestern Interior Forest","Dark-eyed Junco","Junco hyemalis","DEJU",533,13,650,633,0.458,0.031,0.393,0.491,0.008,0.018,-0.016,0.042,0.348,0.296,0.042,0.964,0.678,0.037,0.633,0.753,-0.014,0.02,-0.047,0.015,0.241,0.323,0.02,0.903,0.877,0.286,0.533,1.446,-0.013,0.023,-0.053,0.023,0.658,0.199,0.432,1.059,2.314,1.01,1.251,4.39,0.002,0.009,-0.006,0.022,0.119,0.08,0.018,0.274,2.264,1.055,1.146,4.406,-0.002,0.02,-0.034,0.034,0.652,0.188,0.444,1.032
4,"Northwestern Interior Forest","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",398,12,431,16,0.516,0.043,0.43,0.565,-0.005,0.022,-0.031,0.04,0.764,0.973,0.084,2.819,0.373,0.081,0.247,0.514,-0.022,0.041,-0.097,0.035,0.238,0.251,0.023,0.769,0.021,0.011,0.01,0.043,0.021,0.037,-0.053,0.065,0.903,0.678,0.138,2.193,1.599,0.533,0.975,2.656,0.011,0.015,-0.014,0.036,0.106,0.089,0.012,0.289,0.025,0.023,0.009,0.073,-0.012,0.058,-0.12,0.071,0.974,0.734,0.176,2.44
4,"Northwestern Interior Forest","Yellow-rumped Warbler","Setophaga coronata","YRWA",608,14,674,327,0.473,0.035,0.418,0.531,-0.001,0.018,-0.028,0.03,0.295,0.344,0.031,1.042,0.644,0.156,0.431,0.959,-0.054,0.105,-0.203,0.018,0.443,0.826,0.039,2.271,0.212,0.115,0.099,0.448,-0.027,0.04,-0.115,0.013,0.955,0.334,0.594,1.634,3.251,1.082,1.94,5.404,-0.001,0.008,-0.011,0.016,0.112,0.076,0.015,0.259,0.767,0.59,0.28,1.941,-0.028,0.038,-0.115,0.003,0.879,0.311,0.558,1.512
4,"Northwestern Interior Forest","Swainson's Thrush","Catharus ustulatus","SWTH",639,14,802,209,0.589,0.035,0.502,0.613,-0.001,0.016,-0.015,0.035,0.341,0.279,0.035,0.893,0.557,0.091,0.402,0.703,-0.029,0.034,-0.094,0.013,0.318,0.311,0.032,0.964,0.179,0.06,0.108,0.298,-0.002,0.014,-0.023,0.022,0.287,0.178,0.04,0.617,3.297,1.057,1.955,5.38,-0.014,0.016,-0.046,0.005,0.266,0.107,0.134,0.473,0.562,0.294,0.268,1.176,-0.024,0.021,-0.065,0.004,0.2,0.124,0.037,0.435
4,"Northwestern Interior Forest","Wilson's Warbler","Cardellina pusilla","WIWA",890,10,977,358,0.411,0.051,0.322,0.486,0.004,0.019,-0.015,0.045,0.211,0.204,0.016,0.641,0.517,0.061,0.416,0.618,-0.007,0.025,-0.052,0.031,0.226,0.209,0.023,0.655,0.184,0.102,0.082,0.396,-0.019,0.024,-0.07,0.004,0.535,0.188,0.326,0.907,2.254,0.821,1.203,3.843,-0.023,0.02,-0.06,0.003,0.187,0.075,0.1,0.337,0.364,0.297,0.123,1.012,-0.038,0.041,-0.127,0.004,0.585,0.195,0.367,0.977
