BCR,BirdName,BirdScientificName,BirdCount
Northern Rockies,House Wren,Troglodytes aedon,910
Southern Rockies/Colorado Plateau,Warbling Vireo,Vireo gilvus,1204
Southern Rockies/Colorado Plateau,Hermit Thrush,Catharus guttatus,238
Boreal Hardwood Transition,Swainson's Thrush,Catharus ustulatus,274
Piedmont,Yellow-breasted Chat,Icteria virens,391
Boreal Hardwood Transition,American Goldfinch,Spinus tristis,272
Southern Rockies/Colorado Plateau,Yellow Warbler,Setophaga petechia,4112
Central Hardwoods,Common Yellowthroat,Geothlypis trichas,1923
Western Alaska,Wilson's Warbler,Cardellina pusilla,1673
Northern Pacific Rainforest,Swainson's Thrush,Catharus ustulatus,8737
Eastern Tallgrass Prairie,Song Sparrow,Melospiza melodia,894
Piedmont,Red-eyed Vireo,Vireo olivaceus,741
Sierra Madre Occidental,Black-headed Grosbeak,Pheucticus melanocephalus,618
Eastern Tallgrass Prairie,Traill's Flycatcher,Empidonax alnorum/traillii,602
Great Basin,Orange-crowned Warbler,Leiothlypis celata,172
Northern Pacific Rainforest,Downy Woodpecker,Dryobates pubescens,399
Northern Pacific Rainforest,Common Yellowthroat,Geothlypis trichas,1216
Southern Rockies/Colorado Plateau,Black-capped Chickadee,Poecile atricapillus,556
Piedmont,Acadian Flycatcher,Empidonax virescens,519
New England/Mid-Atlantic Coast,Ovenbird,Seiurus aurocapilla,1761
Eastern Tallgrass Prairie,Painted Bunting,Passerina ciris,136
Prairie Hardwood Transition,Yellow Warbler,Setophaga petechia,1325
Prairie Hardwood Transition,Indigo Bunting,Passerina cyanea,757
West Gulf Coastal Plain/Ouachitas,Hooded Warbler,Setophaga citrina,200
Great Basin,Bullock's Oriole,Icterus bullockii,1083
Prairie Potholes,Swainson's Thrush,Catharus ustulatus,206
Lower Great Lakes/ St. Lawrence Plain,Wood Thrush,Hylocichla mustelina,325
Atlantic Northern Forest,Hermit Thrush,Catharus guttatus,527
Sierra Nevada,Warbling Vireo,Vireo gilvus,2374
Southern Rockies/Colorado Plateau,House Wren,Troglodytes aedon,613
Eastern Tallgrass Prairie,Gray Catbird,Dumetella carolinensis,3689
Central Hardwoods,Eastern Towhee,Pipilo erythrophthalmus,403
Appalachian Mountains,Indigo Bunting,Passerina cyanea,1089
Northern Pacific Rainforest,Lazuli Bunting,Passerina amoena,498
Northern Pacific Rainforest,Hermit Thrush,Catharus guttatus,936
Lower Great Lakes/ St. Lawrence Plain,American Robin,Turdus migratorius,1072
Southeastern Coastal Plain,Painted Bunting,Passerina ciris,123
New England/Mid-Atlantic Coast,White-eyed Vireo,Vireo griseus,302
Boreal Taiga Plains,Yellow Warbler,Setophaga petechia,179
Great Basin,Spotted Towhee,Pipilo maculatus,662
Coastal California,American Goldfinch,Spinus tristis,1576
Coastal California,House Wren,Troglodytes aedon,1868
Lower Great Lakes/ St. Lawrence Plain,Gray Catbird,Dumetella carolinensis,2546
Atlantic Northern Forest,American Goldfinch,Spinus tristis,530
Prairie Hardwood Transition,Northern Cardinal,Cardinalis cardinalis,722
Piedmont,Gray Catbird,Dumetella carolinensis,2735
Sierra Madre Occidental,Northern Cardinal,Cardinalis cardinalis,291
Boreal Taiga Plains,American Redstart,Setophaga ruticilla,719
Southern Rockies/Colorado Plateau,Spotted Towhee,Pipilo maculatus,804
Northern Rockies,Veery,Catharus fuscescens,395
