BirdName,State,NumBird,BirdScientificName,TotalBird
Acadian Flycatcher,Alabama,270,Empidonax virescens,6466
Acadian Flycatcher,Arkansas,505,Empidonax virescens,6466
Acadian Flycatcher,Delaware,103,Empidonax virescens,6466
Acadian Flycatcher,Florida,270,Empidonax virescens,6466
Acadian Flycatcher,Georgia,516,Empidonax virescens,6466
Acadian Flycatcher,Kentucky,686,Empidonax virescens,6466
Acadian Flycatcher,Maine,207,Empidonax virescens,6466
Acadian Flycatcher,Maryland,207,Empidonax virescens,6466
Acadian Flycatcher,Mississippi,673,Empidonax virescens,6466
Acadian Flycatcher,Missouri,914,Empidonax virescens,6466
Acadian Flycatcher,New York,310,Empidonax virescens,6466
Acadian Flycatcher,North Carolina,208,Empidonax virescens,6466
Acadian Flycatcher,Pennsylvania,75,Empidonax virescens,6466
Acadian Flycatcher,South Carolina,156,Empidonax virescens,6466
Acadian Flycatcher,Tennessee,1191,Empidonax virescens,6466
Acadian Flycatcher,Virginia,75,Empidonax virescens,6466
Acadian Flycatcher,West Virginia,100,Empidonax virescens,6466
American Goldfinch,Alaska,698,Spinus tristis,15050
American Goldfinch,Arizona,174,Spinus tristis,15050
American Goldfinch,California,1576,Spinus tristis,15050
American Goldfinch,Colorado,435,Spinus tristis,15050
American Goldfinch,Delaware,88,Spinus tristis,15050
American Goldfinch,Georgia,142,Spinus tristis,15050
American Goldfinch,Idaho,110,Spinus tristis,15050
American Goldfinch,Illinois,870,Spinus tristis,15050
American Goldfinch,Indiana,653,Spinus tristis,15050
American Goldfinch,Iowa,653,Spinus tristis,15050
American Goldfinch,Kentucky,360,Spinus tristis,15050
American Goldfinch,Maine,493,Spinus tristis,15050
American Goldfinch,Maryland,175,Spinus tristis,15050
American Goldfinch,Michigan,436,Spinus tristis,15050
American Goldfinch,Minnesota,830,Spinus tristis,15050
American Goldfinch,Missouri,480,Spinus tristis,15050
American Goldfinch,Montana,660,Spinus tristis,15050
American Goldfinch,Nevada,509,Spinus tristis,15050
American Goldfinch,New Hampshire,106,Spinus tristis,15050
American Goldfinch,New York,262,Spinus tristis,15050
